id_appointment,nama_customer,layanan,tanggal,jam_mulai,jam_selesai,durasi_menit,id_pegawai
APN0055,Viman Hastuti,Spa,4/21/2025,3:00:00,4:00:00,60,PGW0042
APN0056,Langgeng Widiastuti,Manicure,2/3/2025,17:02:00,17:47:00,45,PGW0027
APN0057,Nurul Astuti,Perawatan Rambut,4/7/2025,7:51:00,8:51:00,60,PGW0003
APN0058,Aditya Hastuti,Pedicure,3/1/2025,13:38:00,14:23:00,45,PGW0030
APN0059,Zulfa Saefullah,Facial,4/11/2025,20:51:00,21:36:00,45,PGW0006
APN0060,H. Bala Tampubolon,Spa,4/10/2025,14:45:00,16:15:00,90,PGW0029
APN0061,Ella Agustina,Spa,4/21/2025,3:34:00,5:04:00,90,PGW0046
APN0062,"Tgk. Okta Hidayanto, M.Pd",Perawatan Rambut,3/20/2025,8:55:00,9:40:00,45,PGW0014
APN0063,Jumari Putra,Pedicure,3/1/2025,4:04:00,5:04:00,60,PGW0042
APN0064,"Mursinin Sihombing, S.IP",Manicure,2/24/2025,22:14:00,23:14:00,60,PGW0044
APN0065,"Cut Gawati Agustina, S.E.I",Spa,4/7/2025,6:46:00,7:31:00,45,PGW0020
APN0066,Sakura Dabukke,Pedicure,2/24/2025,3:32:00,5:02:00,90,PGW0032
APN0067,Laila Gunarto,Manicure,2/2/2025,10:14:00,11:14:00,60,PGW0035
APN0068,Yulia Utama,Spa,4/15/2025,3:03:00,3:48:00,45,PGW0035
APN0069,"Cut Bella Napitupulu, S.E.",Facial,2/24/2025,4:44:00,5:14:00,30,PGW0021
APN0070,"Danuja Saefullah, M.M.",Manicure,3/1/2025,20:58:00,21:43:00,45,PGW0014
APN0071,Zulfa Budiman,Manicure,3/14/2025,11:27:00,12:57:00,90,PGW0047
APN0072,Ir. Rahmi Zulaika,Manicure,3/30/2025,2:14:00,3:14:00,60,PGW0025
APN0073,Tgk. Muni Haryanti,Manicure,3/11/2025,21:42:00,22:12:00,30,PGW0024
APN0074,Ikhsan Safitri,Manicure,2/1/2025,20:28:00,20:58:00,30,PGW0005
APN0075,"Artanto Pratama, S.T.",Facial,3/17/2025,5:04:00,5:34:00,30,PGW0013
APN0076,"Cengkal Sitorus, S.IP",Manicure,2/23/2025,8:53:00,10:23:00,90,PGW0020
APN0077,Ir. Tirtayasa Wastuti,Facial,3/22/2025,7:56:00,8:26:00,30,PGW0024
APN0078,Paiman Mustofa,Facial,3/1/2025,0:20:00,1:05:00,45,PGW0002
APN0079,Salimah Iswahyudi,Perawatan Rambut,3/4/2025,8:49:00,9:19:00,30,PGW0003
APN0080,R.A. Michelle Utami,Pedicure,2/14/2025,12:20:00,13:20:00,60,PGW0012
APN0081,"Iriana Ardianto, S.Sos",Facial,4/28/2025,23:28:00,0:28:00,60,PGW0046
APN0082,"Cut Rachel Simanjuntak, M.Farm",Facial,2/13/2025,8:19:00,9:04:00,45,PGW0013
APN0083,"R. Salsabila Siregar, S.Sos",Perawatan Rambut,2/24/2025,11:14:00,11:59:00,45,PGW0034
APN0084,"Ir. Kurnia Hassanah, M.Pd",Facial,3/10/2025,0:20:00,1:20:00,60,PGW0015
APN0085,Gandi Salahudin,Spa,3/9/2025,15:32:00,16:17:00,45,PGW0002
APN0086,"Mulya Januar, S.IP",Pedicure,2/27/2025,21:53:00,22:23:00,30,PGW0004
APN0087,Nasrullah Santoso,Perawatan Rambut,2/3/2025,18:35:00,19:05:00,30,PGW0022
APN0088,"Nasrullah Riyanti, S.I.Kom",Manicure,2/6/2025,16:12:00,17:42:00,90,PGW0045
APN0089,Kiandra Prayoga,Spa,2/10/2025,14:09:00,15:39:00,90,PGW0007
APN0090,"Gandi Maryati, S.Kom",Manicure,4/22/2025,10:17:00,10:47:00,30,PGW0006
APN0091,Uchita Handayani,Manicure,2/11/2025,9:23:00,10:23:00,60,PGW0049
APN0092,Tgk. Kezia Prasetya,Perawatan Rambut,2/19/2025,12:36:00,13:36:00,60,PGW0035
APN0093,dr. Kartika Pratiwi,Manicure,2/7/2025,12:29:00,13:59:00,90,PGW0022
APN0094,Koko Usamah,Pedicure,4/9/2025,17:14:00,17:44:00,30,PGW0030
APN0095,Wakiman Mandala,Facial,3/31/2025,14:25:00,15:55:00,90,PGW0015
APN0096,Jayadi Pradipta,Perawatan Rambut,3/29/2025,8:23:00,9:53:00,90,PGW0048
APN0097,Asman Maryadi,Manicure,4/23/2025,1:40:00,2:40:00,60,PGW0012
APN0098,"drg. Najam Zulkarnain, M.TI.",Perawatan Rambut,4/11/2025,16:29:00,16:59:00,30,PGW0018
APN0099,Fathonah Siregar,Pedicure,3/11/2025,17:35:00,18:05:00,30,PGW0001
APN0100,Dr. Nadia Halim,Manicure,3/2/2025,10:16:00,11:46:00,90,PGW0002
APN0101,Kawaya Pangestu,Perawatan Rambut,4/24/2025,18:11:00,19:41:00,90,PGW0016
APN0102,"Sadina Prabowo, S.Pd",Pedicure,4/3/2025,23:24:00,0:09:00,45,PGW0016
APN0103,Bagas Yuniar,Perawatan Rambut,4/23/2025,5:02:00,6:32:00,90,PGW0026
APN0104,Ir. Dalima Adriansyah,Perawatan Rambut,4/1/2025,14:33:00,16:03:00,90,PGW0037
APN0105,Paulin Waskita,Spa,4/23/2025,7:35:00,9:05:00,90,PGW0006
APN0106,Drs. Ayu Salahudin,Spa,3/12/2025,6:01:00,7:01:00,60,PGW0013
APN0107,Dr. Raden Mayasari,Facial,2/27/2025,8:02:00,9:32:00,90,PGW0026
APN0108,Cinta Hariyah,Facial,4/26/2025,10:29:00,11:29:00,60,PGW0041
APN0109,Ellis Novitasari,Facial,3/27/2025,22:44:00,23:44:00,60,PGW0026
APN0110,Okto Wijayanti,Facial,4/12/2025,14:16:00,15:01:00,45,PGW0011
APN0111,"R. Langgeng Widodo, M.Pd",Facial,4/5/2025,20:25:00,21:10:00,45,PGW0041
APN0112,Almira Nasyidah,Pedicure,4/11/2025,16:04:00,16:49:00,45,PGW0011
APN0113,Dr. Bakti Widiastuti,Perawatan Rambut,2/14/2025,8:21:00,9:06:00,45,PGW0047
APN0114,Drs. Cinthia Lailasari,Spa,4/29/2025,22:32:00,23:02:00,30,PGW0036
APN0115,Cengkal Iswahyudi,Facial,3/19/2025,2:29:00,3:14:00,45,PGW0028
APN0116,"Cornelia Purwanti, S.I.Kom",Facial,2/11/2025,10:52:00,11:22:00,30,PGW0042
APN0117,Winda Prasasta,Perawatan Rambut,3/16/2025,13:59:00,14:59:00,60,PGW0035
APN0118,Irnanto Ramadan,Facial,2/1/2025,9:26:00,10:26:00,60,PGW0038
APN0119,Gamanto Handayani,Facial,3/31/2025,11:28:00,12:13:00,45,PGW0009
APN0120,Bella Lailasari,Spa,3/12/2025,10:17:00,11:02:00,45,PGW0005
APN0121,"Artanto Nurdiyanti, S.Psi",Spa,2/12/2025,10:36:00,11:36:00,60,PGW0035
APN0122,Eka Wahyudin,Facial,4/8/2025,18:27:00,19:12:00,45,PGW0032
APN0123,Tira Marbun,Facial,2/2/2025,16:33:00,18:03:00,90,PGW0034
APN0124,Qori Maryadi,Manicure,4/6/2025,4:36:00,5:21:00,45,PGW0035
APN0125,"Kadir Agustina, S.Pd",Facial,4/28/2025,11:20:00,12:20:00,60,PGW0023
APN0126,"drg. Yessi Iswahyudi, S.H.",Perawatan Rambut,3/31/2025,8:37:00,10:07:00,90,PGW0045
APN0127,Ayu Mulyani,Spa,2/5/2025,16:57:00,17:27:00,30,PGW0011
APN0128,R. Nova Hutasoit,Facial,4/29/2025,0:43:00,1:43:00,60,PGW0003
APN0129,"Sutan Nasab Wulandari, S.Gz",Spa,4/21/2025,3:06:00,3:51:00,45,PGW0021
APN0130,Belinda Yuliarti,Spa,2/16/2025,15:39:00,17:09:00,90,PGW0005
APN0131,Ir. Laksana Hutapea,Spa,3/22/2025,18:48:00,19:48:00,60,PGW0012
APN0132,Vanesa Simbolon,Facial,2/19/2025,4:19:00,4:49:00,30,PGW0011
APN0133,Drs. Julia Wijayanti,Perawatan Rambut,3/5/2025,4:34:00,5:19:00,45,PGW0035
APN0134,"drg. Diana Wibisono, S.Sos",Perawatan Rambut,2/3/2025,20:08:00,21:38:00,90,PGW0031
APN0135,drg. Yulia Sihotang,Pedicure,4/5/2025,13:31:00,15:01:00,90,PGW0006
APN0136,Tami Lestari,Perawatan Rambut,4/29/2025,15:59:00,16:59:00,60,PGW0043
APN0137,"Indah Mansur, M.Farm",Manicure,3/27/2025,20:08:00,20:53:00,45,PGW0027
APN0138,Kasusra Anggraini,Manicure,2/22/2025,22:16:00,23:16:00,60,PGW0012
APN0139,Dalima Iswahyudi,Pedicure,2/25/2025,21:17:00,22:17:00,60,PGW0028
APN0140,Atmaja Prasetya,Perawatan Rambut,2/19/2025,21:25:00,22:25:00,60,PGW0020
APN0141,Belinda Hakim,Pedicure,4/3/2025,20:33:00,21:03:00,30,PGW0003
APN0142,Malika Megantara,Pedicure,3/9/2025,17:41:00,18:11:00,30,PGW0013
APN0143,Laras Wahyuni,Perawatan Rambut,4/19/2025,14:10:00,14:55:00,45,PGW0013
APN0144,Salimah Kusumo,Spa,4/4/2025,14:04:00,14:34:00,30,PGW0016
APN0145,Cut Kartika Hidayanto,Manicure,4/18/2025,18:48:00,20:18:00,90,PGW0004
APN0146,Maida Puspasari,Manicure,4/5/2025,12:51:00,13:21:00,30,PGW0017
APN0147,Kezia Rajasa,Perawatan Rambut,4/6/2025,0:32:00,1:32:00,60,PGW0025
APN0148,Tomi Suwarno,Manicure,3/6/2025,21:34:00,22:04:00,30,PGW0039
APN0149,Yoga Usamah,Manicure,4/26/2025,21:38:00,22:23:00,45,PGW0041
APN0150,T. Enteng Maryadi,Manicure,4/18/2025,22:09:00,22:39:00,30,PGW0044
APN0151,Jumadi Novitasari,Spa,2/19/2025,1:25:00,2:25:00,60,PGW0019
APN0152,Dr. Mutia Simanjuntak,Spa,3/24/2025,5:43:00,6:43:00,60,PGW0019
APN0153,R. Kuncara Nababan,Facial,2/8/2025,15:07:00,16:37:00,90,PGW0003
APN0154,"Dr. Karna Zulkarnain, S.Pd",Perawatan Rambut,2/1/2025,11:09:00,11:39:00,30,PGW0004
APN0155,Iriana Mayasari,Pedicure,2/21/2025,18:24:00,19:09:00,45,PGW0020
APN0156,dr. Hendra Hartati,Pedicure,4/22/2025,23:35:00,0:05:00,30,PGW0030
APN0157,Novi Widiastuti,Pedicure,4/2/2025,16:27:00,17:27:00,60,PGW0026
APN0158,Sakti Gunarto,Facial,3/15/2025,6:14:00,7:14:00,60,PGW0032
APN0159,T. Anggabaya Uyainah,Spa,3/29/2025,6:45:00,7:30:00,45,PGW0012
APN0160,"Dt. Luwar Nasyidah, M.Pd",Facial,2/18/2025,23:10:00,23:40:00,30,PGW0049
APN0161,"Lintang Siregar, S.E.I",Perawatan Rambut,4/11/2025,5:14:00,6:44:00,90,PGW0049
APN0162,Lalita Kuswandari,Perawatan Rambut,2/18/2025,7:27:00,8:27:00,60,PGW0022
APN0163,Ir. Niyaga Winarsih,Spa,3/1/2025,0:10:00,0:40:00,30,PGW0033
APN0164,Ajimat Permata,Manicure,3/5/2025,16:23:00,17:23:00,60,PGW0020
APN0165,"drg. Jamal Siregar, S.Pt",Manicure,4/26/2025,5:15:00,5:45:00,30,PGW0048
APN0166,"Kiandra Santoso, S.Kom",Perawatan Rambut,3/10/2025,6:45:00,7:45:00,60,PGW0032
APN0167,Cinthia Handayani,Perawatan Rambut,2/23/2025,5:22:00,6:52:00,90,PGW0030
APN0168,Slamet Nashiruddin,Facial,4/19/2025,3:24:00,4:54:00,90,PGW0014
APN0169,"R.M. Kemba Narpati, M.Ak",Spa,4/12/2025,2:56:00,3:41:00,45,PGW0021
APN0170,Asirwada Agustina,Perawatan Rambut,2/25/2025,17:34:00,19:04:00,90,PGW0013
APN0171,Dr. Teddy Maryadi,Manicure,3/3/2025,4:21:00,5:06:00,45,PGW0025
APN0172,Kiandra Situmorang,Spa,3/23/2025,20:34:00,21:34:00,60,PGW0001
APN0173,Adika Maulana,Facial,2/8/2025,5:12:00,6:42:00,90,PGW0032
APN0174,Warta Habibi,Pedicure,2/6/2025,21:19:00,22:04:00,45,PGW0003
APN0175,"H. Tomi Nainggolan, S.Kom",Facial,4/29/2025,7:18:00,8:03:00,45,PGW0009
APN0176,R.M. Estiono Mustofa,Manicure,4/2/2025,13:10:00,14:10:00,60,PGW0011
APN0177,"Wardi Mahendra, M.Pd",Spa,4/15/2025,21:38:00,22:23:00,45,PGW0039
APN0178,"Sadina Nashiruddin, S.Pd",Manicure,2/17/2025,1:26:00,2:26:00,60,PGW0011
APN0179,"Dr. Ophelia Putra, S.Pd",Manicure,3/3/2025,22:23:00,23:53:00,90,PGW0023
APN0180,Balamantri Suryono,Facial,4/12/2025,10:33:00,12:03:00,90,PGW0010
APN0181,Devi Putra,Perawatan Rambut,4/1/2025,14:04:00,15:04:00,60,PGW0030
APN0182,Lanang Safitri,Perawatan Rambut,2/4/2025,20:23:00,21:23:00,60,PGW0026
APN0183,Kasiyah Lailasari,Manicure,4/21/2025,17:52:00,18:37:00,45,PGW0037
APN0184,"Titin Prakasa, M.Ak",Perawatan Rambut,2/8/2025,22:17:00,23:47:00,90,PGW0024
APN0185,Ir. Safina Firmansyah,Pedicure,2/13/2025,4:44:00,5:44:00,60,PGW0049
APN0186,Vanesa Wijayanti,Pedicure,3/25/2025,13:58:00,14:43:00,45,PGW0004
APN0187,Bella Prastuti,Facial,3/27/2025,16:14:00,16:44:00,30,PGW0043
APN0188,"T. Najib Tampubolon, S.IP",Perawatan Rambut,2/7/2025,4:02:00,4:47:00,45,PGW0035
APN0189,"H. Gilang Puspita, S.Psi",Perawatan Rambut,3/5/2025,6:36:00,7:36:00,60,PGW0019
APN0190,"Hj. Uchita Yulianti, S.I.Kom",Pedicure,2/10/2025,7:06:00,7:36:00,30,PGW0039
APN0191,Endah Suryono,Spa,3/31/2025,10:08:00,10:38:00,30,PGW0010
APN0192,"Raina Hutapea, S.IP",Spa,2/11/2025,8:52:00,9:37:00,45,PGW0023
APN0193,Uli Pradipta,Perawatan Rambut,4/7/2025,14:55:00,15:55:00,60,PGW0048
APN0194,"drg. Oni Ardianto, S.IP",Perawatan Rambut,2/16/2025,2:54:00,3:24:00,30,PGW0031
APN0195,"Murti Handayani, S.Pd",Perawatan Rambut,4/9/2025,1:58:00,3:28:00,90,PGW0044
APN0196,Putri Wulandari,Pedicure,3/17/2025,20:09:00,20:54:00,45,PGW0016
APN0197,"Tgk. Dadi Saragih, M.Pd",Manicure,2/24/2025,11:51:00,12:36:00,45,PGW0048
APN0198,Ratna Lazuardi,Pedicure,4/17/2025,17:30:00,18:30:00,60,PGW0006
APN0199,Kawaca Budiyanto,Manicure,3/17/2025,2:24:00,3:09:00,45,PGW0031
APN0200,Maida Manullang,Facial,3/26/2025,22:10:00,23:10:00,60,PGW0020
APN0201,"Artanto Nasyidah, S.Sos",Facial,4/3/2025,9:07:00,10:07:00,60,PGW0028
APN0202,"Dagel Mulyani, M.Ak",Spa,4/11/2025,11:25:00,12:10:00,45,PGW0050
APN0203,R.A. Paulin Nainggolan,Facial,4/21/2025,15:33:00,17:03:00,90,PGW0040
APN0204,drg. Maimunah Mayasari,Facial,3/29/2025,21:44:00,22:14:00,30,PGW0005
APN0205,Rosman Budiman,Perawatan Rambut,3/1/2025,12:37:00,13:22:00,45,PGW0002
APN0206,R.A. Julia Thamrin,Facial,3/27/2025,1:14:00,1:44:00,30,PGW0048
APN0207,Prasetya Novitasari,Perawatan Rambut,2/2/2025,9:03:00,10:33:00,90,PGW0009
APN0208,"Kawaca Mahendra, S.E.I",Perawatan Rambut,4/18/2025,21:58:00,22:43:00,45,PGW0010
APN0209,Eva Pertiwi,Perawatan Rambut,3/19/2025,0:30:00,1:00:00,30,PGW0027
APN0210,Baktiadi Pradipta,Pedicure,4/21/2025,0:22:00,1:52:00,90,PGW0038
APN0211,Satya Saputra,Facial,4/14/2025,21:11:00,22:11:00,60,PGW0034
APN0212,Ajimin Hartati,Facial,3/10/2025,14:26:00,15:11:00,45,PGW0039
APN0213,Lidya Mulyani,Manicure,3/26/2025,19:15:00,20:00:00,45,PGW0007
APN0214,"Padma Padmasari, S.Psi",Manicure,3/18/2025,0:47:00,2:17:00,90,PGW0002
APN0215,Aurora Latupono,Perawatan Rambut,2/2/2025,4:22:00,4:52:00,30,PGW0049
APN0216,Irnanto Habibi,Spa,2/9/2025,21:49:00,22:34:00,45,PGW0014
APN0217,"Tgk. Nasrullah Anggraini, S.H.",Pedicure,2/27/2025,13:14:00,13:59:00,45,PGW0022
APN0218,Vera Namaga,Perawatan Rambut,2/23/2025,17:38:00,18:08:00,30,PGW0035
APN0219,Galiono Wulandari,Pedicure,4/27/2025,18:59:00,19:44:00,45,PGW0037
APN0220,"Hj. Icha Rajata, M.M.",Manicure,4/7/2025,15:08:00,16:38:00,90,PGW0007
APN0221,Rahayu Nurdiyanti,Manicure,3/23/2025,9:10:00,10:10:00,60,PGW0006
APN0222,Maida Prasetyo,Manicure,2/23/2025,4:30:00,5:30:00,60,PGW0033
APN0223,Nasim Iswahyudi,Perawatan Rambut,4/18/2025,14:15:00,15:00:00,45,PGW0044
APN0224,"Farhunnisa Usamah, S.Psi",Perawatan Rambut,3/12/2025,16:39:00,17:39:00,60,PGW0042
APN0225,Ina Hidayat,Spa,2/25/2025,1:21:00,1:51:00,30,PGW0050
APN0226,"H. Cawisadi Usamah, M.Farm",Pedicure,3/3/2025,20:15:00,21:45:00,90,PGW0027
APN0227,Sakti Susanti,Perawatan Rambut,2/28/2025,4:08:00,5:38:00,90,PGW0035
APN0228,H. Eja Usada,Spa,3/3/2025,16:28:00,17:13:00,45,PGW0034
APN0229,Gada Tampubolon,Pedicure,4/26/2025,7:49:00,9:19:00,90,PGW0011
APN0230,R. Sakura Thamrin,Pedicure,3/19/2025,4:31:00,5:16:00,45,PGW0028
APN0231,Carla Laksmiwati,Spa,3/25/2025,18:45:00,19:45:00,60,PGW0021
APN0232,Ir. Prasetya Widodo,Facial,3/16/2025,15:12:00,16:12:00,60,PGW0008
APN0233,Respati Suryatmi,Pedicure,2/9/2025,7:51:00,9:21:00,90,PGW0050
APN0234,Citra Lailasari,Facial,3/6/2025,6:47:00,8:17:00,90,PGW0035
APN0235,Dr. Kania Padmasari,Perawatan Rambut,4/22/2025,3:57:00,5:27:00,90,PGW0011
APN0236,Hari Hariyah,Spa,2/22/2025,19:04:00,20:04:00,60,PGW0028
APN0237,Keisha Siregar,Perawatan Rambut,2/20/2025,13:32:00,14:32:00,60,PGW0036
APN0238,Jaswadi Gunawan,Pedicure,4/22/2025,18:26:00,19:56:00,90,PGW0024
APN0239,Irma Siregar,Facial,3/28/2025,5:54:00,7:24:00,90,PGW0013
APN0240,"R. Padmi Usamah, S.E.I",Spa,4/3/2025,11:33:00,12:33:00,60,PGW0037
APN0241,Ayu Padmasari,Pedicure,3/19/2025,9:59:00,10:29:00,30,PGW0037
APN0242,"Cut Malika Wibowo, S.I.Kom",Pedicure,4/17/2025,12:02:00,12:32:00,30,PGW0012
APN0243,"Drs. Olivia Adriansyah, M.Farm",Manicure,4/27/2025,15:21:00,16:51:00,90,PGW0006
APN0244,Dt. Kasim Hutasoit,Pedicure,3/10/2025,8:36:00,10:06:00,90,PGW0012
APN0245,"Amalia Nuraini, S.H.",Pedicure,2/28/2025,15:03:00,15:48:00,45,PGW0014
APN0246,Gandi Oktaviani,Facial,2/9/2025,3:32:00,4:32:00,60,PGW0013
APN0247,"Drs. Gamblang Salahudin, S.E.I",Manicure,3/1/2025,22:03:00,23:03:00,60,PGW0030
APN0248,dr. Labuh Manullang,Manicure,2/10/2025,17:10:00,18:40:00,90,PGW0004
APN0249,"Samiah Utama, S.T.",Perawatan Rambut,2/19/2025,2:23:00,2:53:00,30,PGW0011
APN0250,Hafshah Purnawati,Spa,4/9/2025,2:04:00,2:34:00,30,PGW0042
APN0251,Rahmi Damanik,Facial,3/10/2025,2:29:00,3:59:00,90,PGW0004
APN0252,Irma Hastuti,Facial,2/9/2025,11:11:00,11:41:00,30,PGW0050
APN0253,Eko Farida,Facial,3/5/2025,15:57:00,16:27:00,30,PGW0030
APN0254,Ratna Nurdiyanti,Facial,4/23/2025,15:39:00,16:24:00,45,PGW0034
APN0255,"Drs. Bambang Damanik, S.Ked",Spa,2/3/2025,13:22:00,14:07:00,45,PGW0046
APN0256,Tania Tamba,Pedicure,4/29/2025,3:35:00,4:35:00,60,PGW0043
APN0257,KH. Adikara Zulkarnain,Manicure,4/8/2025,10:45:00,12:15:00,90,PGW0011
APN0258,Adinata Anggraini,Spa,4/20/2025,0:54:00,1:39:00,45,PGW0020
APN0259,"Jane Saefullah, S.Kom",Spa,2/27/2025,17:41:00,18:41:00,60,PGW0020
APN0260,Puti Endah Hakim,Pedicure,2/27/2025,6:04:00,7:04:00,60,PGW0032
APN0261,"Prayitna Pradipta, S.Kom",Pedicure,4/12/2025,10:57:00,11:27:00,30,PGW0014
APN0262,Umi Hutasoit,Pedicure,2/3/2025,19:49:00,21:19:00,90,PGW0017
APN0263,R. Violet Lailasari,Manicure,4/8/2025,13:10:00,14:40:00,90,PGW0015
APN0264,Gading Haryanto,Facial,3/3/2025,0:43:00,1:13:00,30,PGW0043
APN0265,"Drs. Dina Sitompul, S.Pt",Perawatan Rambut,2/3/2025,19:44:00,20:14:00,30,PGW0009
APN0266,Shania Kusmawati,Spa,2/23/2025,11:31:00,12:16:00,45,PGW0008
APN0267,"Indah Simbolon, S.Pt",Spa,3/31/2025,10:07:00,11:37:00,90,PGW0041
APN0268,"Cut Qori Hidayanto, S.Sos",Spa,3/2/2025,19:35:00,20:35:00,60,PGW0037
APN0269,Dr. Padmi Widodo,Perawatan Rambut,2/17/2025,11:10:00,12:40:00,90,PGW0049
APN0270,"Bahuwarna Rajasa, S.Pd",Spa,4/14/2025,1:42:00,3:12:00,90,PGW0017
APN0271,Sutan Carub Samosir,Pedicure,4/25/2025,20:57:00,21:42:00,45,PGW0002
APN0272,Dr. Elvin Putra,Perawatan Rambut,4/25/2025,5:36:00,6:36:00,60,PGW0016
APN0273,Clara Setiawan,Pedicure,4/8/2025,22:22:00,23:22:00,60,PGW0023
